,Elec-base,Elec-low,Elec-high,Ind-base,Ind-low,Ind-high
TX,25.955589263184894,3.598605092482502,38.51615784451541,6.430501474978507,0.7967743950033611,10.828070316344785
LA,16.284451133837283,-38.3345635710968,54.89580803639938,1.9532556429662586,-4.186646531362165,7.314410130103751
CA,5.703007789516867,-12.528563064100283,17.603226067368436,3.3873829117646266,-6.836495038285506,11.987886982165762
IN,29.17978533442186,3.0712497530930114,48.07652889246939,11.14165464746558,1.0934600222812234,19.373891293620073
OH,17.39179892876265,1.2935535294567415,28.96335564119966,10.506994117108531,0.7389993712772628,18.01492643870265
IL,15.792757587985886,-7.373640145164543,31.482461713872322,8.775228962215735,-3.7739814110422123,19.11487821057009
PA,24.5398871611976,12.960993500496349,32.40084961851182,14.29674845916318,7.2194454757112965,19.81828906520389
IA,101.72891032499594,62.92973178121896,129.49015420675076,25.79599862416584,15.572223955478426,33.41091054326419
AL,28.139128126229526,21.515085437658225,31.931202959385168,14.028355599591256,9.484451823944948,18.04251806660332
GA,8.722300965788534,1.2536932228963171,13.187251239503468,7.248448030258423,0.91539717316143,13.14150358038654
MI,-9.380800205464888,-39.82315136635008,14.343035391122188,-6.616333320393481,-28.01384282137114,10.344179209095419
MN,18.839531409138022,-17.590475406074745,47.79226358350709,8.857550534825924,-8.254329079893498,22.275263365803166
